raw_brand,raw_variant,raw_plan_name,raw_campaign_name,market,concatenate_for_plans,concatenate_for_budgets,category,subcategory,brand_clean,brand_type,variant,status,notes,added_by,added_at
1664 Blanc,1664 Blanc,AZ-1664 Blanc-2025-06-Campaign-1664Blanc_Redesigned,1664Blanc_Redesigned,Azerbaijan,1664 Blanc_1664 Blanc_AZ-1664 Blanc-2025-06-Campaign-1664Blanc_Redesigned_1664Blanc_Redesigned_Azerbaijan,Azerbaijan_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,AZ-1664 Blanc-2025-08-Campaign-1664Blanc_Redesigned,1664Blanc_Redesigned,Azerbaijan,1664 Blanc_1664 Blanc_AZ-1664 Blanc-2025-08-Campaign-1664Blanc_Redesigned_1664Blanc_Redesigned_Azerbaijan,Azerbaijan_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,AZ-1664-2024-05-Campaign-1664 Blanc OOH support,1664 Blanc OOH support,Azerbaijan,1664 Blanc_1664 Blanc_AZ-1664-2024-05-Campaign-1664 Blanc OOH support_1664 Blanc OOH support_Azerbaijan,Azerbaijan_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,AZ-1664-2024-05-Campaign-Baku Fashion Week,Baku Fashion Week,Azerbaijan,1664 Blanc_1664 Blanc_AZ-1664-2024-05-Campaign-Baku Fashion Week_Baku Fashion Week_Azerbaijan,Azerbaijan_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,AZ-1664-2024-06-Campaign-Lavanda Fest,Lavanda Fest,Azerbaijan,1664 Blanc_1664 Blanc_AZ-1664-2024-06-Campaign-Lavanda Fest_Lavanda Fest_Azerbaijan,Azerbaijan_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,AZ-1664-2024-06-Campaign-Piano _and_Lavanda Fest,Piano _and_Lavanda Fest,Azerbaijan,1664 Blanc_1664 Blanc_AZ-1664-2024-06-Campaign-Piano _and_Lavanda Fest_Piano _and_Lavanda Fest_Azerbaijan,Azerbaijan_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,AZ-1664-2024-06-Campaign-Piano Fest,Piano Fest,Azerbaijan,1664 Blanc_1664 Blanc_AZ-1664-2024-06-Campaign-Piano Fest_Piano Fest_Azerbaijan,Azerbaijan_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,BG-1664-2024-04-Campaign-1664 Blanc Cinema campaign,1664 Blanc Cinema,Bulgaria,1664 Blanc_1664 Blanc_BG-1664-2024-04-Campaign-1664 Blanc Cinema campaign_1664 Blanc Cinema_Bulgaria,Bulgaria_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,BG-1664-2024-04-Campaign-1664 Blanc Equity campaign #1,1664 Blanc TV campaign Equity #1,Bulgaria,1664 Blanc_1664 Blanc_BG-1664-2024-04-Campaign-1664 Blanc Equity campaign #1_1664 Blanc TV campaign Equity #1_Bulgaria,Bulgaria_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,BG-1664-2024-04-Campaign-1664 Blanc Equity campaign #1,BlancEquity,Bulgaria,1664 Blanc_1664 Blanc_BG-1664-2024-04-Campaign-1664 Blanc Equity campaign #1_BlancEquity_Bulgaria,Bulgaria_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,BG-1664-2024-09-Campaign-1664 Blanc Equity campaign #2,BG-1664-2024-09-Campaign-1664 Blanc Equity campaign #2,Bulgaria,1664 Blanc_1664 Blanc_BG-1664-2024-09-Campaign-1664 Blanc Equity campaign #2_BG-1664-2024-09-Campaign-1664 Blanc Equity campaign #2_Bulgaria,Bulgaria_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,BG-1664-2024-09-Campaign-1664 Blanc Equity campaign #2,BlancEquity2,Bulgaria,1664 Blanc_1664 Blanc_BG-1664-2024-09-Campaign-1664 Blanc Equity campaign #2_BlancEquity2_Bulgaria,Bulgaria_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,bg-1664-2025-02-campaign-AON,1664BlanAON,Bulgaria,1664 Blanc_1664 Blanc_bg-1664-2025-02-campaign-AON_1664BlanAON_Bulgaria,Bulgaria_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,BG-1664-2025-04-Campaign-1664 Equity,1664Equity,Bulgaria,1664 Blanc_1664 Blanc_BG-1664-2025-04-Campaign-1664 Equity_1664Equity_Bulgaria,Bulgaria_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,BG-1664Blanc-2025-03-Campaign-1664 Blanc Equity,1664 Blanc Equity,Bulgaria,1664 Blanc_1664 Blanc_BG-1664Blanc-2025-03-Campaign-1664 Blanc Equity_1664 Blanc Equity_Bulgaria,Bulgaria_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,BG-Blanc-2024-04-Campaign-BlancAON,BlancAON,Bulgaria,1664 Blanc_1664 Blanc_BG-Blanc-2024-04-Campaign-BlancAON_BlancAON_Bulgaria,Bulgaria_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CA-1664-2024-05-Campaign-1664,FY24_1664,Canada,1664 Blanc_1664 Blanc_CA-1664-2024-05-Campaign-1664_FY24_1664_Canada,Canada_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CA-1664-2025-05-Campaign-1664,FY25_1664,Canada,1664 Blanc_1664 Blanc_CA-1664-2025-05-Campaign-1664_FY25_1664_Canada,Canada_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CH-1664 Blanc-2024-01-Campaign-TV PPD,Fee,Switzerland,1664 Blanc_1664 Blanc_CH-1664 Blanc-2024-01-Campaign-TV PPD_Fee_Switzerland,Switzerland_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CH-1664 Blanc-2024-01-Campaign-TV PPD,PPD TV,Switzerland,1664 Blanc_1664 Blanc_CH-1664 Blanc-2024-01-Campaign-TV PPD_PPD TV_Switzerland,Switzerland_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CH-1664-2024-03-Campaign-24101-CH-1664-Blanc-Launch-Build.,Build KW19-29,Switzerland,1664 Blanc_1664 Blanc_CH-1664-2024-03-Campaign-24101-CH-1664-Blanc-Launch-Build._Build KW19-29_Switzerland,Switzerland_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CH-1664-2024-03-Campaign-24101-CH-1664-Blanc-Launch-Build.,Build KW31-37,Switzerland,1664 Blanc_1664 Blanc_CH-1664-2024-03-Campaign-24101-CH-1664-Blanc-Launch-Build._Build KW31-37_Switzerland,Switzerland_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CH-1664-2024-03-Campaign-24101-CH-1664-Blanc-Launch-Build.,Launch,Switzerland,1664 Blanc_1664 Blanc_CH-1664-2024-03-Campaign-24101-CH-1664-Blanc-Launch-Build._Launch_Switzerland,Switzerland_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CH-1664-2024-03-Campaign-24101-CH-1664-Blanc-Launch-Build.,Launch KW10-17,Switzerland,1664 Blanc_1664 Blanc_CH-1664-2024-03-Campaign-24101-CH-1664-Blanc-Launch-Build._Launch KW10-17_Switzerland,Switzerland_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CH-1664-2024-03-Campaign-24101-CH-1664-Blanc-Launch-Build.,Launch-Build,Switzerland,1664 Blanc_1664 Blanc_CH-1664-2024-03-Campaign-24101-CH-1664-Blanc-Launch-Build._Launch-Build_Switzerland,Switzerland_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CH-1664Blanc-2025-01-Campaign-25101_CH_1664Blanc_Build,25101_CH_1664Blanc_Equity,Switzerland,1664 Blanc_1664 Blanc_CH-1664Blanc-2025-01-Campaign-25101_CH_1664Blanc_Build_25101_CH_1664Blanc_Equity_Switzerland,Switzerland_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CH-1664Blanc-2025-01-Campaign-25101_CH_1664Blanc_Build,Build,Switzerland,1664 Blanc_1664 Blanc_CH-1664Blanc-2025-01-Campaign-25101_CH_1664Blanc_Build_Build_Switzerland,Switzerland_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CN-1664-2023-12-Campaign-EOY,Y23 EOY,China,1664 Blanc_1664 Blanc_CN-1664-2023-12-Campaign-EOY_Y23 EOY_China,China_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CN-K1664-2024-04-Campaign-K1664 GTWT3.0,Y24 GTWT3.0,China,1664 Blanc_1664 Blanc_CN-K1664-2024-04-Campaign-K1664 GTWT3.0_Y24 GTWT3.0_China,China_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CN-K1664-2024-06-Campaign-K1664 Equity B1,Y24 Equity B1,China,1664 Blanc_1664 Blanc_CN-K1664-2024-06-Campaign-K1664 Equity B1_Y24 Equity B1_China,China_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CN-K1664-2024-06-Campaign-K1664 Equity B2,Y24 Equity B2,China,1664 Blanc_1664 Blanc_CN-K1664-2024-06-Campaign-K1664 Equity B2_Y24 Equity B2_China,China_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CN-K1664-2024-06-Campaign-K1664 Hot Drama,Y24 Hot Drama,China,1664 Blanc_1664 Blanc_CN-K1664-2024-06-Campaign-K1664 Hot Drama_Y24 Hot Drama_China,China_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CN-K1664-2024-12-Campaign-K1664 Y24 EOY,Y24 EOY,China,1664 Blanc_1664 Blanc_CN-K1664-2024-12-Campaign-K1664 Y24 EOY_Y24 EOY_China,China_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,CN-K1664-2025-03-Campaign-K1664 _____,Y25 _____,China,1664 Blanc_1664 Blanc_CN-K1664-2025-03-Campaign-K1664 ______Y25 ______China,China_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,dentsu,
1664 Blanc,1664 Blanc,CN-K1664-2025-04-Campaign-K1664 Equity B1,Y25 Equity B1,China,1664 Blanc_1664 Blanc_CN-K1664-2025-04-Campaign-K1664 Equity B1_Y25 Equity B1_China,China_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664 Blanc-2024-07-CAMPAIGN-Carlsberg_Blanc_Digital_2024_Social 2. Flight,Carlsberg_Blanc_Digital_2024_Social 2. Flight,Germany,1664 Blanc_1664 Blanc_DE-1664 Blanc-2024-07-CAMPAIGN-Carlsberg_Blanc_Digital_2024_Social 2. Flight_Carlsberg_Blanc_Digital_2024_Social 2. Flight_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664 Blanc-2025-04-Campaign-Blanc 1664_2025_1. Flight MIN YT & CTV,Blanc 1664_2025_1. Flight MIN YT & CTV,Germany,1664 Blanc_1664 Blanc_DE-1664 Blanc-2025-04-Campaign-Blanc 1664_2025_1. Flight MIN YT & CTV_Blanc 1664_2025_1. Flight MIN YT & CTV_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664 Blanc-2025-04-Campaign-Blanc 2025_1. Flight Social,Blanc 2025_1. Flight Social,Germany,1664 Blanc_1664 Blanc_DE-1664 Blanc-2025-04-Campaign-Blanc 2025_1. Flight Social_Blanc 2025_1. Flight Social_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664 Blanc-2025-04-Campaign-OOH Giant Poster Flight 1,Annual planning  2025 - Giant Poster Flight 1,Germany,1664 Blanc_1664 Blanc_DE-1664 Blanc-2025-04-Campaign-OOH Giant Poster Flight 1_Annual planning  2025 - Giant Poster Flight 1_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664 Blanc-2025-05-Campaign-Special Budget eRetail_Carlsberg_1664_Blanc_2025_Rewe,Special Budget eRetail_Carlsberg_1664_Blanc_2025_Rewe,Germany,1664 Blanc_1664 Blanc_DE-1664 Blanc-2025-05-Campaign-Special Budget eRetail_Carlsberg_1664_Blanc_2025_Rewe_Special Budget eRetail_Carlsberg_1664_Blanc_2025_Rewe_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664 Blanc-2025-06-Campaign-Blanc 1664_2025_2. Flight MIN YT & CTV,Blanc 1664_2025_2. Flight MIN YT & CTV,Germany,1664 Blanc_1664 Blanc_DE-1664 Blanc-2025-06-Campaign-Blanc 1664_2025_2. Flight MIN YT & CTV_Blanc 1664_2025_2. Flight MIN YT & CTV_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664 Blanc-2025-06-Campaign-Blanc 1664_2025_2. Flight Social,Blanc 1664_2025_2. Flight Social,Germany,1664 Blanc_1664 Blanc_DE-1664 Blanc-2025-06-Campaign-Blanc 1664_2025_2. Flight Social_Blanc 1664_2025_2. Flight Social_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664 Blanc-2025-06-Campaign-OOH Giant Poster Flight 2,Annual planning  2025 - Giant Poster Flight 2,Germany,1664 Blanc_1664 Blanc_DE-1664 Blanc-2025-06-Campaign-OOH Giant Poster Flight 2_Annual planning  2025 - Giant Poster Flight 2_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664 Blanc-2025-06-Campaign-Special Budget eRetail_Carlsberg_Blanc_2025_Amazon Search,Special Budget eRetail_Carlsberg_Blanc_2025_Amazon Search,Germany,1664 Blanc_1664 Blanc_DE-1664 Blanc-2025-06-Campaign-Special Budget eRetail_Carlsberg_Blanc_2025_Amazon Search_Special Budget eRetail_Carlsberg_Blanc_2025_Amazon Search_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664 Blanc-2025-08-Campaign-REWE Produkttest_1664 Blanc_KW33-39,REWE Produkttest_1664 Blanc_KW33-39,Germany,1664 Blanc_1664 Blanc_DE-1664 Blanc-2025-08-Campaign-REWE Produkttest_1664 Blanc_KW33-39_REWE Produkttest_1664 Blanc_KW33-39_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664 Blanc-2025-09-Campaign-OOH REWE Produkttest,DE-1664 Blanc-2025-09-Campaign-OOH REWE Produkttest,Germany,1664 Blanc_1664 Blanc_DE-1664 Blanc-2025-09-Campaign-OOH REWE Produkttest_DE-1664 Blanc-2025-09-Campaign-OOH REWE Produkttest_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664-2024-04-Campaign-Carlsberg_Blanc_Digital_2024_XY & ATV__.,Carlsberg_Blanc_Digital_2024_XY & ATV,Germany,1664 Blanc_1664 Blanc_DE-1664-2024-04-Campaign-Carlsberg_Blanc_Digital_2024_XY & ATV__._Carlsberg_Blanc_Digital_2024_XY & ATV_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664-2024-05-Campaign-OOH Flight 1,Annual campaign - Flight 1,Germany,1664 Blanc_1664 Blanc_DE-1664-2024-05-Campaign-OOH Flight 1_Annual campaign - Flight 1_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664-2024-07-Campaign- OOH Flight 2,Annual campaign - Flight 2,Germany,1664 Blanc_1664 Blanc_DE-1664-2024-07-Campaign- OOH Flight 2_Annual campaign - Flight 2_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664-2024-07-CAMPAIGN-AWARENESS pDOOH FLIGHT 2,Awareness - Flight 2,Germany,1664 Blanc_1664 Blanc_DE-1664-2024-07-CAMPAIGN-AWARENESS pDOOH FLIGHT 2_Awareness - Flight 2_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664-2024-07-Campaign-Carlsberg_Blanc_Digital_2024_Channel Plus Display 2. Flight,Carlsberg_Blanc_Digital_2024_Channel Plus Display 2. Flight,Germany,1664 Blanc_1664 Blanc_DE-1664-2024-07-Campaign-Carlsberg_Blanc_Digital_2024_Channel Plus Display 2. Flight_Carlsberg_Blanc_Digital_2024_Channel Plus Display 2. Flight_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-1664Blanc-2025-04-Campaign-Digital Flight 1,DE-1664Blanc-2025-04-Campaign-Digital Flight 1,Germany,1664 Blanc_1664 Blanc_DE-1664Blanc-2025-04-Campaign-Digital Flight 1_DE-1664Blanc-2025-04-Campaign-Digital Flight 1_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305,164 Blanc,Germany,1664 Blanc_1664 Blanc_DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305_164 Blanc_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305,165 Blanc,Germany,1664 Blanc_1664 Blanc_DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305_165 Blanc_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305,166 Blanc,Germany,1664 Blanc_1664 Blanc_DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305_166 Blanc_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-Blanc-2024-05-Campaign-Awareness pDOOH Flight 1,Awareness - Flight 1,Germany,1664 Blanc_1664 Blanc_DE-Blanc-2024-05-Campaign-Awareness pDOOH Flight 1_Awareness - Flight 1_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-Blanc-2024-05-Campaign-Blanc-OMR Flight 1 pDOOH,DE-Blanc-2024-05-Campaign-Blanc-OMR,Germany,1664 Blanc_1664 Blanc_DE-Blanc-2024-05-Campaign-Blanc-OMR Flight 1 pDOOH_DE-Blanc-2024-05-Campaign-Blanc-OMR_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-Blanc-2025-04-Campaign-OOH Flight 1 CLP,DE-Blanc-2025-04-Campaign-OOH Flight 1 CLP,Germany,1664 Blanc_1664 Blanc_DE-Blanc-2025-04-Campaign-OOH Flight 1 CLP_DE-Blanc-2025-04-Campaign-OOH Flight 1 CLP_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-Blanc-2025-04-Campaign-OOH Flight 1 GF,DE-Blanc-2025-04-Campaign-OOH Flight 1 GF,Germany,1664 Blanc_1664 Blanc_DE-Blanc-2025-04-Campaign-OOH Flight 1 GF_DE-Blanc-2025-04-Campaign-OOH Flight 1 GF_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,DE-Blanc-2025-04-Campaign-OOH Flight 1 RP Fabrik HH,DE-Blanc-2025-04-Campaign-OOH Flight 1 RP Fabrik HH,Germany,1664 Blanc_1664 Blanc_DE-Blanc-2025-04-Campaign-OOH Flight 1 RP Fabrik HH_DE-Blanc-2025-04-Campaign-OOH Flight 1 RP Fabrik HH_Germany,Germany_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
