raw_campaign,raw_plan_name,market,brand,concatenate,campaign_clean,campaign_type,campaign_subtype,source_of_truth,status,notes,added_by,added_at
06-07-tuborg-collect-get-online-2024 awareness,LV-Tuborg-2024-07-Campaign-Collect&Get-2024,Latvia,Tuborg,06-07-tuborg-collect-get-online-2024 awareness_LV-Tuborg-2024-07-Campaign-Collect&Get-2024_Tuborg_Latvia,Tuborg collect get online 2024,Tactical,Creative Message,iProspect Carlsberg Global Team,,,,
06-07-tuborg-collect-get-online-2024 traffic,LV-Tuborg-2024-07-Campaign-Collect&Get-2024,Latvia,Tuborg,06-07-tuborg-collect-get-online-2024 traffic_LV-Tuborg-2024-07-Campaign-Collect&Get-2024_Tuborg_Latvia,Tuborg collect get online 2024,Tactical,Creative Message,iProspect Carlsberg Global Team,,,,
07-08-dlight-online-2024,LV-Dlight-2024-07-Campaign-Dlight July-Aug,Latvia,Dlight,07-08-dlight-online-2024_LV-Dlight-2024-07-Campaign-Dlight July-Aug_Dlight_Latvia,07 08 dlight online 2024,Big Bet,Seasonal Burst,iProspect Carlsberg Global Team,,,,
08-1664Blanc-2024,LV-1664 Blanc-2024-08-09-Campaign-1664 Blanc,Latvia,1664 Blanc,08-1664Blanc-2024_LV-1664 Blanc-2024-08-09-Campaign-1664 Blanc_1664 Blanc_Latvia,08 1664blanc 2024,Tactical,Creative Message,iProspect Carlsberg Global Team,,,,
1 flight,UA-Dolcelini-2024-06-Campaign-1 flight,Ukraine,Dolcelini,1 flight_UA-Dolcelini-2024-06-Campaign-1 flight_Dolcelini_Ukraine,1 flight,Big Bet,Seasonal Burst,iProspect Carlsberg Global Team,,,,
1 flight,UA-Grimbergen-2024-06-Campaign-1 flight,Ukraine,Grimbergen,1 flight_UA-Grimbergen-2024-06-Campaign-1 flight_Grimbergen_Ukraine,1 flight,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1 flight,UA-Miller-2024-06-Campaign-Miller,Ukraine,Miller,1 flight_UA-Miller-2024-06-Campaign-Miller_Miller_Ukraine,1 flight,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
164 Blanc,DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305,Germany,1664 Blanc,164 Blanc_DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305_1664 Blanc_Germany,1664 blanc,Tactical,Creative Message,iProspect Carlsberg Global Team,,,,
165 Blanc,DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305,Germany,1664 Blanc,165 Blanc_DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305_1664 Blanc_Germany,1664 blanc,Tactical,Creative Message,iProspect Carlsberg Global Team,,,,
166 Blanc,DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305,Germany,1664 Blanc,166 Blanc_DE-Blanc-2024-05-Campaign-1664 Blanc_Print Placements_20240305_1664 Blanc_Germany,1664 blanc,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 - Rose Launch 2024,FI-1664-2024-04-Campaign-Rose launch,Finland,1664 Other,1664 - Rose Launch 2024_FI-1664-2024-04-Campaign-Rose launch_1664 Other_Finland,1664 rose launch 2024,Big Bet,NPD or Product Launch,iProspect Carlsberg Global Team,,,,
1664 & CARLSBERG CNY_2025_OS_JAYAGS (GRAB)-DEC'24-JAN'25,MY-Carlsberg-2024-12-Campaign-E-COMM-1664 & CARLSBERG CNY_2025_OS_JAYAGS (GRAB) – 2400981,Malaysia,Carlsberg,1664 & CARLSBERG CNY_2025_OS_JAYAGS (GRAB)-DEC'24-JAN'25_MY-Carlsberg-2024-12-Campaign-E-COMM-1664 & CARLSBERG CNY_2025_OS_JAYAGS (GRAB) – 2400981_Carlsberg_Malaysia,Cny 2025,Tactical,Holiday (CNY),iProspect Carlsberg Global Team,,,,
1664 + ELLE-galan,SE-1664-2024-01-Campaign-1664 2024 Activity,Sweden,1664 Blanc,1664 + ELLE-galan_SE-1664-2024-01-Campaign-1664 2024 Activity_1664 Blanc_Sweden,1664 + elle galan,Continuity,Always On,iProspect Carlsberg Global Team,,,,
1664 Alkoholfri,SE-1664-2024-01-Campaign-1664 2024 Activity,Sweden,1664 Blanc,1664 Alkoholfri_SE-1664-2024-01-Campaign-1664 2024 Activity_1664 Blanc_Sweden,1664 alkoholfri,Continuity,Always On,iProspect Carlsberg Global Team,,,,
1664 august,HU-1664-2025-08-Campaign-Blanc/Rosé,Hungary,1664 Blanc,1664 august_HU-1664-2025-08-Campaign-Blanc/Rosé_1664 Blanc_Hungary,1664 blanc,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Autumn 2025,FI-1664-2025-09-Campaign-Autumn,Finland,1664 Blanc,1664 Autumn 2025_FI-1664-2025-09-Campaign-Autumn_1664 Blanc_Finland,1664 Autumn,Big Bet,Seasonal Burst,iProspect Carlsberg Global Team,,,,
1664 Biere,UK-1664-Biere-2024-04-Campaign-OOH,United Kingdom,1664 Other,1664 Biere_UK-1664-Biere-2024-04-Campaign-OOH_1664 Other_United Kingdom,1664 Biere,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc,HU-1664-2024-00-Campaign-All mediatypes,Hungary,1664 Blanc,1664 Blanc_HU-1664-2024-00-Campaign-All mediatypes_1664 Blanc_Hungary,1664 blanc,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc,KR-1664-2025-05-Campaign-1664 Blanc Campaign,South Korea,1664 Blanc,1664 Blanc_KR-1664-2025-05-Campaign-1664 Blanc Campaign_1664 Blanc_South Korea,1664 Blanc,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc,VN-1664-2024-01-Campaign-Full Year 2024 Concept Plan,Vietnam,1664 Blanc,1664 Blanc_VN-1664-2024-01-Campaign-Full Year 2024 Concept Plan_1664 Blanc_Vietnam,1664 blanc,Tactical,Creative Message,iProspect Carlsberg Global Team,,,,
1664 Blanc 0%,EE-1664-2025-06-Campaign-1664 Blanc 0%,Estonia,1664 Blanc,1664 Blanc 0%_EE-1664-2025-06-Campaign-1664 Blanc 0%_1664 Blanc_Estonia,Blanc 0%,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 Blanc 2025,UK-2025-1664-Blanc-Campaign-Implementation-Final,United Kingdom,1664 Blanc,1664 Blanc 2025_UK-2025-1664-Blanc-Campaign-Implementation-Final_1664 Blanc_United Kingdom,1664 blanc,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc always on social,HU-1664-2024-00-Campaign-All mediatypes,Hungary,1664 Blanc,1664 Blanc always on social_HU-1664-2024-00-Campaign-All mediatypes_1664 Blanc_Hungary,1664 blanc always on social,Continuity,Always On,iProspect Carlsberg Global Team,,,,
1664 Blanc Cinema,BG-1664-2024-04-Campaign-1664 Blanc Cinema campaign,Bulgaria,1664 Blanc,1664 Blanc Cinema_BG-1664-2024-04-Campaign-1664 Blanc Cinema campaign_1664 Blanc_Bulgaria,1664 blanc,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 Blanc Cinema 06-07,PL-1664 Blanc-2025-06-Campaign-1664 Blanc Cinema 06-07,Poland,1664 Blanc,1664 Blanc Cinema 06-07_PL-1664 Blanc-2025-06-Campaign-1664 Blanc Cinema 06-07_1664 Blanc_Poland,1664 blanc cinema,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc digital,HU-1664-2024-00-Campaign-All mediatypes,Hungary,1664 Blanc,1664 Blanc digital_HU-1664-2024-00-Campaign-All mediatypes_1664 Blanc_Hungary,1664 blanc,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc Equity,BG-1664Blanc-2025-03-Campaign-1664 Blanc Equity,Bulgaria,1664 Blanc,1664 Blanc Equity_BG-1664Blanc-2025-03-Campaign-1664 Blanc Equity_1664 Blanc_Bulgaria,1664equity,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc March,HU-1664-2025-03-Campaign-Blanc,Hungary,1664 Blanc,1664 Blanc March_HU-1664-2025-03-Campaign-Blanc_1664 Blanc_Hungary,1664 blanc,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc OOH,HU-1664-2024-00-Campaign-All mediatypes,Hungary,1664 Blanc,1664 Blanc OOH_HU-1664-2024-00-Campaign-All mediatypes_1664 Blanc_Hungary,1664 blanc,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc OOH support,AZ-1664-2024-05-Campaign-1664 Blanc OOH support,Azerbaijan,1664 Blanc,1664 Blanc OOH support_AZ-1664-2024-05-Campaign-1664 Blanc OOH support_1664 Blanc_Azerbaijan,1664 blanc,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 Blanc OOH wave 1,BG-1664Blanc-2025-04-Campaign-1664 Blanc OOH waves,Bulgaria,1664 Blanc,1664 Blanc OOH wave 1_BG-1664Blanc-2025-04-Campaign-1664 Blanc OOH waves_1664 Blanc_Bulgaria,OOH Wave 1,Big Bet,Seasonal Burst,iProspect Carlsberg Global Team,,,,
1664 Blanc OOH wave 2,BG-1664Blanc-2025-04-Campaign-1664 Blanc OOH waves,Bulgaria,1664 Blanc,1664 Blanc OOH wave 2_BG-1664Blanc-2025-04-Campaign-1664 Blanc OOH waves_1664 Blanc_Bulgaria,OOH Wave 2,Big Bet,Seasonal Burst,iProspect Carlsberg Global Team,,,,
1664 Blanc TV,HU-1664-2024-00-Campaign-All mediatypes,Hungary,1664 Blanc,1664 Blanc TV_HU-1664-2024-00-Campaign-All mediatypes_1664 Blanc_Hungary,1664 blanc,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc TV Campaign 07,PL-1664 Blanc-2025-07-Campaign-1664 Blanc TV Campaign,Poland,1664 Blanc,1664 Blanc TV Campaign 07_PL-1664 Blanc-2025-07-Campaign-1664 Blanc TV Campaign_1664 Blanc_Poland,1664 blanc TV,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc TV campaign Equity #1,BG-1664-2024-04-Campaign-1664 Blanc Equity campaign #1,Bulgaria,1664 Blanc,1664 Blanc TV campaign Equity #1_BG-1664-2024-04-Campaign-1664 Blanc Equity campaign #1_1664 Blanc_Bulgaria,1664 blanc,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc Vår/Sommar,SE-1664-2024-01-Campaign-1664 2024 Activity,Sweden,1664 Blanc,1664 Blanc Vår/Sommar_SE-1664-2024-01-Campaign-1664 2024 Activity_1664 Blanc_Sweden,1664 blanc vår/sommar,Big Bet,Seasonal Burst,iProspect Carlsberg Global Team,,,,
1664 Blanc VOD 07,PL-1664 Blanc-2025-07-Campaign-1664 Blanc TV Campaign,Poland,1664 Blanc,1664 Blanc VOD 07_PL-1664 Blanc-2025-07-Campaign-1664 Blanc TV Campaign_1664 Blanc_Poland,1664 blanc VOD,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc VOD 07,PL-1664-2025-07-Campaign-1664 Blanc VOD 07,Poland,1664 Blanc,1664 Blanc VOD 07_PL-1664-2025-07-Campaign-1664 Blanc VOD 07_1664 Blanc_Poland,Blanc VOD,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Blanc x Cinema,BG-1664Blanc-2025-05-Campaign-1664 Blanc Cinema,Bulgaria,1664 Blanc,1664 Blanc x Cinema_BG-1664Blanc-2025-05-Campaign-1664 Blanc Cinema_1664 Blanc_Bulgaria,Cinema,Tactical,Event,iProspect Carlsberg Global Team,,,,
1664 Blanc-2025-H2,DK-1664 Blanc-2025-07-Campaign-July+September-H2,Denmark,1664 Blanc,1664 Blanc-2025-H2_DK-1664 Blanc-2025-07-Campaign-July+September-H2_1664 Blanc_Denmark,Blanc H2,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Bon Appetit-Lah Grab-AP,MY-1664 Blanc-2025-06-Campaign-Ecomm | 1664 [June 2025]-Campaign-1664-Bon-Appetit-Lah-2025_GRAB (Digital)-MY04-ECOM2500353,Malaysia,1664 Blanc,1664 Bon Appetit-Lah Grab-AP_MY-1664 Blanc-2025-06-Campaign-Ecomm | 1664 [June 2025]-Campaign-1664-Bon-Appetit-Lah-2025_GRAB (Digital)-MY04-ECOM2500353_1664 Blanc_Malaysia,Bon Appetit Lah Grab,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 Bon Appetit-Lah Grab-FF,MY-1664 Blanc-2025-06-Campaign-Ecomm | 1664 [June 2025]-Campaign-1664-Bon-Appetit-Lah-2025_GRAB (Digital)-MY04-ECOM2500353,Malaysia,1664 Blanc,1664 Bon Appetit-Lah Grab-FF_MY-1664 Blanc-2025-06-Campaign-Ecomm | 1664 [June 2025]-Campaign-1664-Bon-Appetit-Lah-2025_GRAB (Digital)-MY04-ECOM2500353_1664 Blanc_Malaysia,Bon Appetit Lah Grab,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 Brand,FI-1664-2025-05-Campaign-Summer,Finland,1664 Blanc,1664 Brand_FI-1664-2025-05-Campaign-Summer_1664 Blanc_Finland,1664 brand,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 Brand & Rose & Blanc w20-27,FI-1664-2025-05-Campaign-Summer,Finland,1664 Blanc,1664 Brand & Rose & Blanc w20-27_FI-1664-2025-05-Campaign-Summer_1664 Blanc_Finland,1664 brand summer,Big Bet,Seasonal Burst,iProspect Carlsberg Global Team,,,,
1664 Brand + Blanc w25-27,FI-1664-2025-05-Campaign-Summer,Finland,1664 Blanc,1664 Brand + Blanc w25-27_FI-1664-2025-05-Campaign-Summer_1664 Blanc_Finland,1664 brand summer,Big Bet,Seasonal Burst,iProspect Carlsberg Global Team,,,,
1664 Brand + Rose w20-22,FI-1664-2025-05-Campaign-Summer,Finland,1664 Blanc,1664 Brand + Rose w20-22_FI-1664-2025-05-Campaign-Summer_1664 Blanc_Finland,1664 brand summer,Big Bet,Seasonal Burst,iProspect Carlsberg Global Team,,,,
1664 Brand w20-30,FI-1664-2025-05-Campaign-Summer,Finland,1664 Blanc,1664 Brand w20-30_FI-1664-2025-05-Campaign-Summer_1664 Blanc_Finland,1664 brand summer,Big Bet,Seasonal Burst,iProspect Carlsberg Global Team,,,,
1664 BRUT LAGER LAUNCH - LIFESTYLE ASIA KL THE Z-LIST 2024,MY-1664-2024-06-Campaign-BRUT LAGER LAUNCH - LIFESTYLE ASIA KL THE Z-LIST 2024-MY04-KRNB2400419,Malaysia,1664 Other,1664 BRUT LAGER LAUNCH - LIFESTYLE ASIA KL THE Z-LIST 2024_MY-1664-2024-06-Campaign-BRUT LAGER LAUNCH - LIFESTYLE ASIA KL THE Z-LIST 2024-MY04-KRNB2400419_1664 Other_Malaysia,Brut Launch,Big Bet,NPD or Product Launch,iProspect Carlsberg Global Team,,,,
1664 Brut Launch,SG-1664-2024-05-CAMPAIGN-1664 BRUT LAUNCH,Singapore,1664 Other,1664 Brut Launch_SG-1664-2024-05-CAMPAIGN-1664 BRUT LAUNCH_1664 Other_Singapore,Brut Launch,Big Bet,NPD or Product Launch,iProspect Carlsberg Global Team,,,,
1664 Brut Launch Event Registration,SG-1664-2024-06-CAMPAIGN-1664 BRUT LAUNCH-Event Registration,Singapore,1664 Other,1664 Brut Launch Event Registration_SG-1664-2024-06-CAMPAIGN-1664 BRUT LAUNCH-Event Registration_1664 Other_Singapore,Brut Launch,Big Bet,NPD or Product Launch,iProspect Carlsberg Global Team,,,,
1664 Christmas 2024,FI 1664 2024 11 Media campaign Core Christmas,Finland,1664 Blanc,1664 Christmas 2024_FI 1664 2024 11 Media campaign Core Christmas_1664 Blanc_Finland,1664 christmas 2024,Tactical,Holiday,iProspect Carlsberg Global Team,,,,
1664 CNY 2024,SG-1664-2024-01-Campaign-1664 CNY 2024,Singapore,1664 Blanc,1664 CNY 2024_SG-1664-2024-01-Campaign-1664 CNY 2024_1664 Blanc_Singapore,1664 cny 2024,Tactical,Holiday (CNY),iProspect Carlsberg Global Team,,,,
1664 CNY 2025_MEDIA BOOST (CONTENT),MY-1664-2024-12-Campaign- CNY 2025_MEDIA BOOST (CONTENT) - 2401028,Malaysia,1664 Blanc,1664 CNY 2025_MEDIA BOOST (CONTENT)_MY-1664-2024-12-Campaign- CNY 2025_MEDIA BOOST (CONTENT) - 2401028_1664 Blanc_Malaysia,CNY 2025,Tactical,Holiday (CNY),iProspect Carlsberg Global Team,,,,
1664 CNY 2025_MEDIA BOOST (CONTENT),MY-1664-2024-12-Campaign- CNY 2025_MEDIA BOOST (CONTENT) - 2401028,Malaysia,1664 Other,1664 CNY 2025_MEDIA BOOST (CONTENT)_MY-1664-2024-12-Campaign- CNY 2025_MEDIA BOOST (CONTENT) - 2401028_1664 Other_Malaysia,CNY 2025,Tactical,Holiday (CNY),iProspect Carlsberg Global Team,,,,
1664 CNY 2025_MEDIA BOOST (FB/IG),MY-1664-2025-01-Campaign- CNY 2025_MEDIA BOOST (FB/IG)- 2401027,Malaysia,1664 Blanc,1664 CNY 2025_MEDIA BOOST (FB/IG)_MY-1664-2025-01-Campaign- CNY 2025_MEDIA BOOST (FB/IG)- 2401027_1664 Blanc_Malaysia,CNY 2025,Tactical,Holiday (CNY),iProspect Carlsberg Global Team,,,,
1664 CNY 2025_MEDIA BOOST (FB/IG),MY-1664-2025-01-Campaign- CNY 2025_MEDIA BOOST (FB/IG)- 2401027,Malaysia,1664 Other,1664 CNY 2025_MEDIA BOOST (FB/IG)_MY-1664-2025-01-Campaign- CNY 2025_MEDIA BOOST (FB/IG)- 2401027_1664 Other_Malaysia,CNY 2025,Tactical,Holiday (CNY),iProspect Carlsberg Global Team,,,,
1664 Core,FI 1664 2024 11 Media campaign Core Christmas,Finland,1664 Blanc,1664 Core_FI 1664 2024 11 Media campaign Core Christmas_1664 Blanc_Finland,1664 core,Tactical,Holiday,iProspect Carlsberg Global Team,,,,
1664 Core w 43-45,FI 1664 2024 10 Media campaign Core Autumn,Finland,1664 Blanc,1664 Core w 43-45_FI 1664 2024 10 Media campaign Core Autumn_1664 Blanc_Finland,1664 core w 43 45,Big Bet,Seasonal Burst,iProspect Carlsberg Global Team,,,,
1664 Core w 46-49,FI 1664 2024 11 Media campaign Core Christmas,Finland,1664 Blanc,1664 Core w 46-49_FI 1664 2024 11 Media campaign Core Christmas_1664 Blanc_Finland,1664 core w 46 49,Tactical,Holiday,iProspect Carlsberg Global Team,,,,
1664 Core w51-52,FI 1664 2024 12 Media campaign Core Christmas EXTRA W51-52,Finland,1664 Blanc,1664 Core w51-52_FI 1664 2024 12 Media campaign Core Christmas EXTRA W51-52_1664 Blanc_Finland,1664 core w51 52,Tactical,Holiday,iProspect Carlsberg Global Team,,,,
1664 DCM,UA-1664-2025-02-Campaign-1664 Other,Ukraine,1664 Blanc,1664 DCM_UA-1664-2025-02-Campaign-1664 Other_1664 Blanc_Ukraine,1664 DCM,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 DCM,UA-1664-2025-02-Campaign-1664 Other,Ukraine,1664 Other,1664 DCM_UA-1664-2025-02-Campaign-1664 Other_1664 Other_Ukraine,1664 DCM,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 ELLE galan Cover,SE-1664-2025-01-Campaign-1664 2025 Activity,Sweden,1664 Blanc,1664 ELLE galan Cover_SE-1664-2025-01-Campaign-1664 2025 Activity_1664 Blanc_Sweden,1664 elle galan cover,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 Gemius,UA-1664-2025-02-Campaign-1664 Other,Ukraine,1664 Blanc,1664 Gemius_UA-1664-2025-02-Campaign-1664 Other_1664 Blanc_Ukraine,1664 Gemius,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 Gemius,UA-1664-2025-02-Campaign-1664 Other,Ukraine,1664 Other,1664 Gemius_UA-1664-2025-02-Campaign-1664 Other_1664 Other_Ukraine,1664 Gemius,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 H1,DK-1664-Campaign-2025-02-1664 Media H1,Denmark,1664 Blanc,1664 H1_DK-1664-Campaign-2025-02-1664 Media H1_1664 Blanc_Denmark,1664 h1,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664 IG Post Boosting,KR-1664-2025-09-Campaign-1664 Social Boosting,South Korea,1664 Blanc,1664 IG Post Boosting_KR-1664-2025-09-Campaign-1664 Social Boosting_1664 Blanc_South Korea,1664 IG Post Boosting,Continuity,Always On,iProspect Carlsberg Global Team,,,,
1664 Köpenhamn,SE-1664-2025-01-Campaign-1664 2025 Activity,Sweden,1664 Blanc,1664 Köpenhamn_SE-1664-2025-01-Campaign-1664 2025 Activity_1664 Blanc_Sweden,1664 köpenhamn,Tactical,Other,iProspect Carlsberg Global Team,,,,
1664 L'Atelier April'25 Social Promotion,IN-L'Atelier 1664-2025-04-Campaign-L'Atelier 1664 April Social Post Promotion,India,1664 Blanc,1664 L'Atelier April'25 Social Promotion_IN-L'Atelier 1664-2025-04-Campaign-L'Atelier 1664 April Social Post Promotion_1664 Blanc_India,1664 l'atelier april'25 social,Continuity,Always On,iProspect Carlsberg Global Team,,,,
1664 L'Atelier April'25 Social Promotion,IN-L'Atelier 1664-2025-04-Campaign-L'Atelier 1664 April Social Post Promotion,India,1664 Other,1664 L'Atelier April'25 Social Promotion_IN-L'Atelier 1664-2025-04-Campaign-L'Atelier 1664 April Social Post Promotion_1664 Other_India,1664 l'atelier april'25 social,Continuity,Always On,iProspect Carlsberg Global Team,,,,
1664 L'Atelier May'25 Social Promotion,IN-1664 Blanc-2025-05-Campaign-1664 L'Atelier - zero soda - Social Promotion,India,1664 Blanc,1664 L'Atelier May'25 Social Promotion_IN-1664 Blanc-2025-05-Campaign-1664 L'Atelier - zero soda - Social Promotion_1664 Blanc_India,1664 l'atelier may'25 social,Continuity,Always On,iProspect Carlsberg Global Team,,,,
1664 L'Atelier-Zero Soda-Social Promotion-Jul'25,IN-1664 Blanc-2025-07-Campaign-1664 L'Atelier-Zero Soda-Social Promotion-Jul'25,India,1664 Blanc,1664 L'Atelier-Zero Soda-Social Promotion-Jul'25_IN-1664 Blanc-2025-07-Campaign-1664 L'Atelier-Zero Soda-Social Promotion-Jul'25_1664 Blanc_India,1664 L'Atelier-Zero Soda-Social Promotion-Jul'25,Continuity,Always On,iProspect Carlsberg Global Team,,,,
